Table_name;code:  BRANCHE07;code: tid;code: TAL
ERHV1;values:;values;values
;TOT Erhverv i alt;2015;ARBSTED
;011100 Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;2016;ANSATTE
;011100 Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;2017;FULDBESK
;011300 Dyrkning af grøntsager og meloner, rødder og rodknolde;2018;LØNSUM
;011400 Dyrkning af sukkerrør;2019;
;011500 Dyrkning af tobak;2020;
;011600 Dyrkning af tekstilplanter;2021;
;011900 Dyrkning af andre etårige afgrøder;2022;
;012100 Dyrkning af druer;;
;012200 Dyrkning af tropiske og subtropiske frugter;;
;012300 Dyrkning af citrusfrugter;;
;012400 Dyrkning af kernefrugter og stenfrugter;;
;012500 Dyrkning af andre træfrugter, bær og nødder;;
;012600 Dyrkning af olieholdige frugter;;
;012700 Dyrkning af planter til fremstilling af drikkevarer;;
;012800 Dyrkning af krydderiplanter, aromaplanter og lægeplanter;;
;012900 Dyrkning af andre flerårige afgrøder;;
;013000 Planteformering;;
;014100 Avl af malkekvæg;;
;014200 Avl af andet kvæg og bøfler;;
;014300 Avl af heste og dyr af hestefamilien;;
;014400 Avl af kameler og dyr af kamelfamilien;;
;014500 Avl af får og geder;;
;014610 Avl af smågrise;;
;014620 Produktion af slagtesvin;;
;014700 Fjerkræavl;;
;014910 Kenneler;;
;014920 Avl af pelsdyr mv.;;
;015000 Blandet drift;;
;016100 Serviceydelser i forbindelse med planteavl;;
;016200 Serviceydelser i forbindelse med husdyravl;;
;016300 Forarbejdning af afgrøder efter høst;;
;016400 Forarbejdning af frø/sædekorn til udsæd;;
;017000 Jagt, fældefangst og serviceydelser i forbindelse hermed;;
;021000 Dyrkning af træer og andre skovbrugsaktiviteter;;
;022000 Skovning;;
;023000 Indsamling af vildtvoksende forstmateriale undtagen træer;;
;024000 Serviceydelser til skovbrug;;
;031100 Havfiskeri;;
;031200 Ferskvandsfiskeri;;
;032100 Havbrug;;
;032200 Ferskvandsbrug;;
;051000 Indvinding af stenkul;;
;052000 Indvinding af brunkul;;
;061000 Indvinding af råolie;;
;062000 Indvinding af naturgas;;
;071000 Brydning af jernmalm;;
;072100 Brydning af uran- og thoriummalme;;
;072900 Brydning af andre ikke-jernholdige metalmalme;;
;081100 Brydning af pynte- og bygningssten, kalksten, gips, kridt og skifer;;
;081200 Grus- og sandgravning, indvinding af ler og kaolin;;
;089100 Indvinding af mineraler til fremstilling af kemiske produkter og gødningsstoffer;;
;089200 Indvinding og agglomerering af tørv;;
;089300 Saltindvinding;;
;089900 Anden råstofindvinding i.a.n.;;
;091000 Serviceydelser i forbindelse med indvinding af råolie og naturgas;;
;099000 Serviceydelser i forbindelse med anden råstofindvinding;;
;101110 Forarbejdning af svinekød;;
;101190 Forarbejdning af andet kød;;
;101200 Forarbejdning og konservering af fjerkrækød;;
;101300 Produktion af kød- og fjerkrækødprodukter;;
;102010 Fremstilling af fiskemel;;
;102020 Forarbejdning og konservering af fisk, krebsdyr og bløddyr, undtagen fiskemel;;
;103100 Forarbejdning og konservering af kartofler;;
;103200 Fremstilling af frugt- og grøntsagssaft;;
;103900 Anden forarbejdning og konservering af frugt og grøntsager;;
;104100 Fremstilling af olier og fedtstoffer;;
;104200 Fremstilling af margarine o.l. spiselige fedtstoffer;;
;105100 Mejerier samt ostefremstilling;;
;105200 Fremstilling af konsumis;;
;106100 Fremstilling af mølleriprodukter;;
;106200 Fremstilling af stivelse og stivelsesprodukter;;
;107110 Industriel fremstilling af brød, kager mv.;;
;107120 Fremstilling af friske bageriprodukter;;
;107200 Fremstilling af tvebakker og kiks, fremstilling af konserverede kager, tærter mv.;;
;107300 Fremstilling af makaroni, nudler, couscous og lignende dejvarer;;
;108100 Fremstilling af sukker;;
;108200 Fremstilling af kakao, chokolade og sukkervarer;;
;108300 Forarbejdning af te og kaffe;;
;108400 Fremstilling af smagspræparater og krydderier;;
;108500 Fremstilling af færdigretter;;
;108600 Fremstilling af homogeniserede produkter og diætmad;;
;108900 Fremstilling af andre fødevarer i.a.n.;;
;109100 Fremstilling af færdige foderblandinger til landbrugsdyr;;
;109200 Fremstilling af færdige foderblandinger til kæledyr;;
;110100 Destillation, rektifikation og blanding af alkohol;;
;110200 Fremstilling af vin af druer;;
;110300 Fremstilling af cider og anden frugtvin;;
;110400 Fremstilling af andre ikke-destillerede gærede drikkevarer;;
;110500 Fremstilling af øl;;
;110600 Fremstilling af malt;;
;110700 Fremstilling af læskedrikke, fremstilling af mineralvand og andet vand på flaske;;
;120000 Fremstilling af tobaksprodukter;;
;131000 Forbehandling og spinding af tekstilfibre;;
;132000 Vævning af tekstiler;;
;133000 Efterbehandling af tekstiler;;
;139100 Fremstilling af trikotagestoffer;;
;139210 Fremstilling af boligtekstiler;;
;139220 Fremstilling af færdige tekstilvarer undtagen boligtekstiler og beklædningsartikler;;
;139300 Fremstilling af tæpper;;
;139400 Fremstilling af reb, tovværk, sejlgarn og netstoffer;;
